service,response_starting,response_confirmed,persona,short
switch.turn_on,"Klar, ich schalte <device_name> jetzt ein.","Klar, <device_name> leuchtet jetzt.",assistant,0
switch.turn_on,Beep <device_name> wird sofort eingeschaltet.,Beep <device_name> ist jetzt eingeschaltet.,assistant,0
switch.turn_off,<device_name> wird jetzt deaktiviert.,<device_name> wurde deaktiviert.,assistant,0
switch.turn_off,<device_name> wird jetzt ausgeschaltet.,<device_name> ist ausgeschaltet.,assistant,0
switch.turn_off,Schalte <device_name> jetzt aus.,<device_name> ist jetzt ausgeschaltet.,assistant,0
switch.turn_off,"Okay, ich schalte <device_name> jetzt aus.","Okay, <device_name> ist jetzt aus.",assistant,0
switch.turn_off,"Okay, <device_name> wird jetzt ausgeschaltet.","Okay, <device_name> ist jetzt aus.",assistant,0
switch.turn_off,Schalte <device_name> zur Schlafenszeit jetzt aus.,Der <device_name> ist jetzt zur Schlafenszeit aus.,assistant,0
switch.turn_off,Schalte <device_name> jetzt aus.,<device_name> ist jetzt aus.,assistant,0
blinds.close_cover,<device_name> wird heruntergefahren,<device_name> ist heruntergefahren,assistant,1
blinds.close_cover,Senkung von <device_name> läuft jetzt.,Senkung von <device_name> ist abgeschlossen.,assistant,1
blinds.close_cover,Schließe <device_name> jetzt.,<device_name> ist jetzt geschlossen.,assistant,1
blinds.open_cover,Hebe <device_name> jetzt.,Der <device_name> ist jetzt gehoben.,assistant,1
blinds.open_cover,<device_name> wird jetzt ausgelöst,<device_name> wurde ausgelöst,assistant,1
blinds.open_cover,Öffnen von <device_name>.,Der <device_name> ist jetzt geöffnet.,assistant,1
fan.decrease_speed,<device_name> wird jetzt langsamer,<device_name> ist jetzt langsamer,assistant,1
fan.decrease_speed,Reduziere die Geschwindigkeit von <device_name>,Die Geschwindigkeit von <device_name> ist jetzt reduziert,assistant,1
fan.decrease_speed,Reduzierung von <device_name> wird gestartet.,Reduzierung von <device_name> abgeschlossen.,assistant,1
fan.increase_speed,Erhöhe die Geschwindigkeit von <device_name> jetzt.,Die Geschwindigkeit von <device_name> wurde erhöht.,assistant,1
fan.increase_speed,Beschleunigung von <device_name> wird durchgeführt.,Beschleunigung von <device_name> ist abgeschlossen.,assistant,1
fan.increase_speed,Hochfahren von <device_name> gestartet.,Der <device_name> ist jetzt hochgefahren.,assistant,1
fan.toggle,<device_name> wird umgeschaltet.,<device_name> ist umgeschaltet.,assistant,1
fan.toggle,<device_name> wird jetzt umgedreht.,<device_name> wurde umgedreht.,assistant,1
fan.turn_off,Ausschalten von <device_name> läuft jetzt.,Der <device_name> wurde ausgeschaltet.,assistant,1
fan.turn_off,Stoppen von <device_name> wird jetzt ausgeführt.,Stoppen von <device_name> ist erledigt.,assistant,1
fan.turn_on,<device_name> wird jetzt gestartet.,<device_name> ist jetzt gestartet.,assistant,1
fan.turn_off,Deaktivieren von <device_name> wird gestartet.,Deaktivieren von <device_name> ist abgeschlossen.,assistant,1
fan.turn_on,Aktiviere <device_name> gerade.,Aktivierung von <device_name> abgeschlossen.,assistant,1
garage_door.close_cover,Deaktivieren von <device_name> läuft.,Deaktivieren von <device_name> abgeschlossen.,assistant,1
garage_door.close_cover,<device_name> wird gerade heruntergefahren,<device_name> wurde heruntergefahren,assistant,1
garage_door.open_cover,Öffnen von <device_name> läuft.,Öffnen von <device_name> abgeschlossen.,assistant,1
garage_door.close_cover,Schließe <device_name>.,<device_name> ist jetzt geschlossen.,assistant,1
garage_door.open_cover,Hebe <device_name> gerade an.,Das Heben von <device_name> ist abgeschlossen.,assistant,1
light.toggle,Schalte <device_name> um.,<device_name> ist jetzt umgeschaltet.,assistant,1
light.toggle,Drehe <device_name> um.,<device_name> ist umgedreht.,assistant,1
light.turn_off,Schalte <device_name> aus.,Der <device_name> ist jetzt aus.,assistant,1
light.turn_off,Deaktivieren von <device_name> wird gestartet.,Deaktivieren von <device_name> ist abgeschlossen.,assistant,1
light.turn_off,Senkung von <device_name> wird gestartet.,Senkung von <device_name> ist erledigt.,assistant,1
garage_door.stop_cover,Stoppen von <device_name> jetzt.,Stoppen von <device_name> abgeschlossen.,assistant,1
light.turn_off,Schalte <device_name> aus.,Ich habe <device_name> ausgeschaltet.,assistant,1
light.turn_on,Aktiviere <device_name> jetzt.,<device_name> ist jetzt aktiviert.,assistant,1
light.turn_on,Einschalten von <device_name> wird durchgeführt.,Einschalten von <device_name> abgeschlossen.,assistant,1
light.turn_on,Schalte beide <device_name> jetzt ein.,Beide <device_name> sind jetzt eingeschaltet.,assistant,1
light.turn_on,Einschalten von <device_name> läuft.,<device_name> ist jetzt eingeschaltet.,assistant,1
lock.lock,Sicherung von <device_name> läuft.,Sicherung von <device_name> abgeschlossen.,assistant,1
lock.unlock,Entsperre <device_name> jetzt.,<device_name> ist jetzt entsperrt.,assistant,1
lock.lock,Sperren von <device_name> wird ausgeführt.,Sperren von <device_name> abgeschlossen.,assistant,1
lock.unlock,<device_name> wird gerade entsichert,<device_name> ist entsichert,assistant,1
blinds.open_cover,"Ich setze die Segel und öffne die Jalousien für dich, Arr!","Die Jalousien sind geöffnet, Kamerad!",pirate,0
blinds.open_cover,"Arr, ich öffne die Jalousien für dich.","Jalousien sind jetzt geöffnet, Kamerad.",pirate,0
blinds.close_cover,"Aye, ich schließe die Jalousien gleich für dich, Arr!","Die Jalousien sind jetzt zu, wie du wolltest, Arr!",pirate,0
blinds.open_cover,"Aye, ich öffne die Jalousien jetzt.","Aye, die Jalousien sind jetzt geöffnet.",pirate,0
blinds.close_cover,"Arr, ich mache mich dran und schließe die Jalousien für dich.","Arr, die Jalousien sind jetzt geschlossen.",pirate,0
blinds.close_cover,"Arr, ich mach die Jalousien zu.","Die Jalousien sind zu, Arr.",pirate,0
blinds.stop_cover,Die Jalousien werden jetzt gestoppt.,Die Jalousien sind jetzt gestoppt.,pirate,0
blinds.stop_cover,"Ich halte die Jalousien für dich an, Arr.","Die Jalousien sind angehalten, Aye.",pirate,0
blinds.stop_cover,"Aye, ich halte die Jalousien jetzt an.","Ja, die Jalousien sind nun gestoppt.",pirate,0
blinds.toggle,"Ändere jetzt den Zustand der Jalousien, Arr!","Der Zustand der Jalousien ist jetzt geändert, Arr!",pirate,0
blinds.open_cover,"Liftin' <device_name> blinds now, yarr","The <device_name> blinds be up, yarr",pirate,0
blinds.toggle,"Arr, ich schalte die Jalousien jetzt für dich um.","Arr, die Jalousien sind jetzt umgeschaltet.",pirate,0
blinds.toggle,"Aye, schalte den Zustand der Jalousien für Sie um.","Aye, der Zustand der Jalousien wurde umgeschaltet.",pirate,0
blinds.open_cover,"<device_name> wird jetzt geöffnet, Arr!","<device_name> ist jetzt geöffnet, fertig!",pirate,0
blinds.stop_cover,"Aye, ich friere die Position von <device_name> ein.","Aye, die Position von <device_name> ist eingefroren.",pirate,0
blinds.stop_cover,"Halte <device_name> jetzt an, Arr!","Aye, <device_name> ist angehalten.",pirate,0
blinds.open_cover,"Raisin' <device_name> now, matey.","Raisin' <device_name> done, aye.",pirate,0
blinds.stop_cover,"Der <device_name>-Vorgang wird gestoppt, aye!","Aye, der <device_name>-Vorgang wurde gestoppt.",pirate,0
blinds.open_cover,"Raisin' <device_name> für euch, Arr!","Aye, <device_name> ist gehisst, fertig.",pirate,0
blinds.close_cover,Schließe <device_name> für euch ab.,<device_name> ist jetzt abgeschlossen.,pirate,0
blinds.close_cover,"<device_name> jetzt senken, aye!","<device_name> gesenkt, aye!",pirate,0
blinds.close_cover,"Shuttin' <device_name> now, yarr","Shuttin' <device_name> done, yarr",pirate,0
blinds.close_cover,"Arr, ich senke <device_name> jetzt.","Arr, <device_name> ist gesenkt.",pirate,0
blinds.toggle,"Arr, der <device_name>-Status wird jetzt umgedreht","Aye, der <device_name>-Status ist umgedreht",pirate,0
blinds.toggle,"Switchin' <device_name> state now, yarr","Switched <device_name> state, yarr",pirate,0
blinds.toggle,"Schalte <device_name> jetzt um, Arr!","<device_name> ist umgeschaltet, Aye!",pirate,0
blinds.toggle,"Aye, ich schalte <device_name> jetzt für Sie um.","Aye, <device_name> ist nun umgeschaltet.",pirate,0
climate.set_humidity,"Yarrr, ich erhöhe die Luftfeuchtigkeit auf <humidity> gerade, am Meer!","Yarrr, die Luftfeuchtigkeit wurde auf <humidity> erhöht, am Meer!",pirate,0
climate.set_humidity,"Arrr, stelle die Luftfeuchtigkeit auf <humidity> Prozent ein, ich mach das gleich!","Arrr, die Luftfeuchtigkeit ist jetzt auf <humidity> Prozent eingestellt!",pirate,0
climate.set_fan_mode,"Bringe den Ventilator auf <fan_mode>-Geschwindigkeit, Arr, gleich geht's los!","Ventilator jetzt auf <fan_mode>-Geschwindigkeit, schneller als eine Schaluppe!",pirate,0
climate.set_humidity,"Bei Davy Jones‘ Spind, ich stelle die Luftfeuchtigkeit auf <humidity> % ein, gleich!","Bei Davy Jones‘ Spind, die Luftfeuchtigkeit ist jetzt auf <humidity> % eingestellt!",pirate,0
climate.set_fan_mode,"Arr, schalte den Ventilator auf <fan_mode>, ich mach mich dran!","Arr, der Ventilator ist jetzt auf <fan_mode>, ruhig, fertig!",pirate,0
climate.set_fan_mode,"Lass mich zittern, ich schalte den Lüfter jetzt auf die Einstellung <fan_mode>!","Lass mich zittern, der Lüfter ist jetzt auf die Einstellung <fan_mode> geschaltet!",pirate,0
climate.set_hvac_mode,"Verdammt, schalte gerade in den <hvac_mode>-Modus, volle Segel voraus!","Verdammt, ich habe den <hvac_mode>-Modus aktiviert, volle Segel voraus!",pirate,0
climate.set_hvac_mode,"Arrr, ich stelle die Klimaanlage jetzt auf <hvac_mode> ein, während sie ruhig läuft!","Arrr, die Klimaanlage ist jetzt auf <hvac_mode> gestellt, während sie ruhig läuft.",pirate,0
climate.set_temperature,"Arr, ich stelle die Temperatur auf <temp_f> Grad ein, gleich geht's los!","Arr, die Temperatur ist jetzt auf <temp_f> Grad eingestellt, warm wie die karibische Sonne!",pirate,0
climate.set_hvac_mode,"Bei den Mächtigen, setze ich die Heizungs-, Lüftungs- und Klimatechnik in den <hvac_mode>-Modus um!","Bei den Mächtigen, die Heizungs-, Lüftungs- und Klimatechnik ist nun im <hvac_mode>-Modus.",pirate,0
climate.set_temperature,"Yarrr, ich setze die Temperatur jetzt auf <temp_c> Celsius, kühler als das tiefe Blau!","Yarrr, die Temperatur ist jetzt auf <temp_c> Celsius, kühler als das tiefe Blau!",pirate,0
climate.set_temperature,"Hebe mich sofort in die Lüfte und stelle den Raum auf <temp_f> Grad Fahrenheit ein, warm wie der Grog eines Piraten!","Der Raum ist jetzt auf <temp_f> Grad Fahrenheit eingestellt, warm wie der Grog eines Piraten!",pirate,0
climate.set_temperature,"Arr, ich stelle den Raum jetzt auf <temp_c> Grad Celsius ein, damit eine kühle Brise weht wie ein Meeresnebel!","Arr, der Raum ist jetzt auf <temp_c> Grad Celsius eingestellt, die kühle Brise weht wie ein Meeresnebel!",pirate,0
climate.set_temperature,"Aye, ich mach mich dran, die Temperatur auf <temp_f> Grad zu setzen, wie in einer sonnenverwöhnten Bucht!","Aye, die Temperatur ist nun auf <temp_f> Grad eingestellt, wie in einer sonnenverwöhnten Bucht!",pirate,0
climate.set_temperature,"Avast macht sich an, die Temperatur auf <temp_f> Grad Fahrenheit zu stellen, gleich geht's los!","Avast hat die Temperatur auf <temp_f> Grad Fahrenheit eingestellt, so gemütlich wie eine Schiffskabine!",pirate,0
fan.turn_on,"Lass den Ventilator für dich anlaufen, arr! Ich leg gleich los.","Der Ventilator läuft jetzt, arr!",pirate,0
climate.set_temperature,"Blasen Sie mich nieder, ich senke die Temperatur auf <temp_c> Celsius, so frisch wie die morgendliche Seeluft!","Blasen Sie mich nieder, die Temperatur ist auf <temp_c> Celsius gesenkt, so frisch wie die morgendliche Seeluft!",pirate,0
fan.turn_on,"Aye, ich setze den Ventilator für dich in Gang.","Der Ventilator läuft jetzt für dich, Kamerad.",pirate,0
fan.turn_on,"Yar, ich schalte den Ventilator gleich ein!","Yar, der Ventilator ist jetzt an!",pirate,0
climate.set_temperature,"Yo ho, ich setze die Temperatur auf <temp_f> Grad Fahrenheit, Arr!","Yo ho, die Temperatur ist jetzt <temp_f> Grad Fahrenheit, wärmer als die Beute eines Piraten!",pirate,0
fan.turn_off,"Töte den Fan jetzt, wie du's verlangt hast, Kumpel.","Den Fan habe ich getötet, wie du's verlangt hast, Kumpel.",pirate,0
fan.turn_off,"Aye, schalte den Ventilator aus.","Arr, der Ventilator ist aus.",pirate,0
fan.toggle,"Schalte den Ventilator jetzt um, bei den Sternen!","Ventilator umgeschaltet, bei den Sternen!",pirate,0
fan.toggle,"Ich setze fan.toggle jetzt in Gang, Arr!","fan.toggle ist erledigt, der Fan-Status ist umgedreht, Arr!",pirate,0
fan.turn_off,"Ich lösche den Ventilator für dich, Arr!","Ventilator ist jetzt aus, Arr!",pirate,0
fan.increase_speed,"Erhöhe die Lüftergeschwindigkeit für Sie, schnell wie der Wind!","Lüftergeschwindigkeit erhöht, schnell wie der Wind!",pirate,0
fan.increase_speed,"Ich mach den Lüfter jetzt schneller, haltet durch!","Der Lüfter ist jetzt schneller, haltet durch!",pirate,0
fan.increase_speed,"Sicher wie die Flut, ich drehe den Lüfter jetzt auf.","Sicher wie die Flut, der Lüfter ist jetzt auf.",pirate,0
fan.toggle,"Ändere den Status des Lüfters für euch, Arr?","Der Status des Lüfters ist geändert, Kamerad.",pirate,0
fan.decrease_speed,"Arr, reduziere die Lüftergeschwindigkeit jetzt, leise wie die Tiefe.","Arr, die Lüftergeschwindigkeit wurde reduziert, leise wie die Tiefe.",pirate,0
fan.decrease_speed,"Ich verlangsame den Ventilator für euch, so einfach wie ein ruhiges Meer.","Der Ventilator ist nun verlangsamt, so einfach wie ein ruhiges Meer.",pirate,0
fan.toggle,"Drehe jetzt den <device_name>-Status für dich um, Yo-ho-ho!","Der <device_name>-Status ist umgedreht, Yo-ho-ho!",pirate,0
fan.decrease_speed,"Aye, die Lüftergeschwindigkeit wird jetzt verringert, ich arbeite dran.","Arr, die Lüftergeschwindigkeit ist verringert, sie bleibt jetzt konstant.",pirate,0
fan.toggle,"Ich ändere den Status von <device_name> jetzt, bei meiner Ehre!","Der Status von <device_name> ist geändert, bei meiner Ehre!",pirate,0
fan.toggle,"Schalte <device_name> jetzt um, Arr – gleich erledigt!","Ich habe <device_name> umgeschaltet, ohne viel Aufhebens!",pirate,0
fan.turn_on,"Setze <device_name> in Gang, volle Kraft voraus!","Der <device_name> ist jetzt aktiv, volle Kraft voraus!",pirate,0
fan.turn_on,"Aye, <device_name> jetzt aktivieren, Segel setzen!","<device_name> ist jetzt aktiv, Segel gesetzt!",pirate,0
fan.turn_on,"Auf jeden Fall, ich lege los mit <device_name>, lasst uns dem Sturm trotzen!","Auf jeden Fall, <device_name> ist jetzt an, wir trotzen dem Sturm!",pirate,0
fan.turn_on,"Schalte <device_name> ein, wir setzen Kurs auf den Wind!","Der <device_name> ist jetzt an, vom Wind begünstigt!",pirate,0
fan.turn_off,"Deaktiviere <device_name> jetzt, ruhig wie eine versteckte Bucht.","Deaktiviert <device_name>, ruhig wie eine versteckte Bucht.",pirate,0
fan.turn_off,"Aye, ich stopp' <device_name> jetzt, alle Hände!","Aye, <device_name> ist gestoppt, alle Hände!",pirate,0
fan.turn_off,"Stoppe <device_name> für euch, so still wie das Grab.","Ich habe <device_name> gestoppt, so still wie das Grab.",pirate,0
fan.decrease_speed,"Reduziere Geschwindigkeit von <device_name>, Ahoi, ich setz die Segel in Gang!","Geschwindigkeit von <device_name> reduziert, reibungsloses Segeln, fertig, Kamerad!",pirate,0
fan.turn_off,"Arr, ich schalte <device_name> aus, damit wir den Kraken nicht wecken.","Arr, <device_name> ist aus, damit wir den Kraken nicht wecken.",pirate,0
fan.decrease_speed,"Verringere die Geschwindigkeit von <device_name> jetzt, sanft wie eine Lagune.","Die Geschwindigkeit von <device_name> wurde gesenkt, sanft wie eine Lagune.",pirate,0
fan.decrease_speed,"Arr, ich lege gleich los, <device_name> für Sie zu verlangsamen.","Aye, <device_name> wurde für Sie erfolgreich verlangsamt.",pirate,0
fan.increase_speed,"Erhöhe die Geschwindigkeit von <device_name>, fange den Horizont ein!","Die Geschwindigkeit von <device_name> wurde erhöht, der Horizont ist erfasst!",pirate,0
fan.turn_on,"Start fan with <device_name>, laut Code! Arr","Fan with <device_name> is now on, laut Code! Yo ho",pirate,0
fan.increase_speed,"Erhöhe die Geschwindigkeit von <device_name> jetzt, schneller als eine fliehende Galeone!","Die Geschwindigkeit von <device_name> ist jetzt erhöht, schneller als eine fliehende Galeone!",pirate,0
fan.increase_speed,"Beschleunige <device_name> sofort, wir entkommen der Marine!","Habe <device_name> beschleunigt, wir sind der Marine entkommen!",pirate,0
fan.increase_speed,"Erhöhe die Geschwindigkeit von <device_name> jetzt, um dem Sturm zu entkommen!","Die Geschwindigkeit von <device_name> ist erhöht, Sturm abgewehrt!",pirate,0
fan.decrease_speed,"Aye, reduziere die Geschwindigkeit von <device_name> jetzt.","Aye, die Geschwindigkeit von <device_name> wurde reduziert und bleibt konstant.",pirate,0
light.turn_on,"Erleuchte den Raum gleich, arr!","Der Raum ist erleuchtet, arr!",pirate,0
light.turn_on,"Arr, ich setze das Viertel jetzt an.","Arr, das Viertel ist angezündet.",pirate,0
light.turn_off,"Aye, lösche die Lichter jetzt, Kumpel.","Aye, die Lichter sind gelöscht, Kumpel.",pirate,0
light.turn_on,"Setze die Segel bei eingeschaltetem Licht, Arr – ich leg los!","Segel bei eingeschaltetem Licht gesetzt, Arr – erledigt!",pirate,0
light.turn_off,"Ich lösche das Licht für dich aus, Arr!","Das Licht ist jetzt aus, Arr!",pirate,0
light.turn_off,"Aye, ich lösche das Licht jetzt.","Aye, das Licht ist gelöscht.",pirate,0
light.toggle,"Wirf das Licht für dich um, bei den Sternen! Ich mach mich gleich ran, Arr.","Das Licht ist umgeworfen, bei den Sternen! Alles erledigt, Kamerad.",pirate,0
light.toggle,"Ändere den Zustand des Lichts, gleich geschehen, bei meiner Ehre!","Der Zustand des Lichts ist geändert, bei meiner Ehre!",pirate,0
light.toggle,"Arr, ich schalte das Licht für dich ein, klug!","Arr, das Licht ist jetzt an, klug!",pirate,0
light.toggle,"Yo-ho-ho, ich drehe den <device_name>-Status jetzt um!","Yo-ho-ho, der <device_name>-Status ist umgeschaltet!",pirate,0
light.toggle,"Schalte <device_name> jetzt um, ohne viel Aufhebens!","Ich habe <device_name> umgeschaltet, ohne viel Aufhebens!",pirate,0
light.turn_on,"Ich starte <device_name> jetzt, Arr!","Der Start von <device_name> ist erledigt, Arr!",pirate,0
light.toggle,"Schalte den Status von <device_name> wie befohlen um, arr! Ich setz das jetzt in Gang.","Schalte den Status von <device_name> wie befohlen um, arr! Erledigt.",pirate,0
light.turn_on,"Aye, <device_name> wird jetzt heller, klarer als der Tag!","Aye, <device_name> ist jetzt heller, klarer als der Tag!",pirate,0
light.turn_on,"<device_name> leuchtet jetzt auf, so hell wie der Vollmond!","<device_name> leuchtet auf, so hell wie der Vollmond!",pirate,0
light.turn_on,"Aktiviere <device_name>, Arr, das Licht kommt gleich!","Aktiviere <device_name>, das Licht ist jetzt an!",pirate,0
light.turn_on,"Setze die Helligkeit von <device_name> auf <brightness> % ein, aye – das erledige ich gleich, so klar wie das offene Meer!","Die Helligkeit von <device_name> ist jetzt auf <brightness> % eingestellt, so klar wie das offene Meer!",pirate,0
light.turn_on,"Arr, dimme <device_name> auf <brightness> % Helligkeit, wie die Dämmerung.","Aye, <device_name> ist nun auf <brightness> % Helligkeit, wie die Dämmerung.",pirate,0
light.turn_on,"Aye, erhelle <device_name> auf <brightness> %, wie die Morgensonne!","Erleuchtet! <device_name> ist jetzt auf <brightness> % eingestellt, wie die Morgensonne!",pirate,0
light.turn_on,"Aye, ich passe die Helligkeit von <device_name> auf <brightness> an, wie im Leuchtturm angegeben.","Arr, die Helligkeit von <device_name> ist jetzt auf <brightness> eingestellt, wie im Leuchtturm angegeben.",pirate,0
light.turn_on,"Arr, ich reduziere die Helligkeit von <device_name> auf <brightness>, gleich geht's los.","Aye, die Helligkeit von <device_name> ist nun auf <brightness> gesenkt, sanft wie Mondlicht.",pirate,0
light.turn_on,"Erhöhe die Helligkeit von <device_name> auf <brightness>, aye – das Leuchtfeuer brennt gleich!","Die Helligkeit von <device_name> ist jetzt auf <brightness> erhöht, wie ein Leuchtfeuer in der Nacht, Arr!",pirate,0
light.turn_on,"Stelle <device_name> jetzt auf <brightness>% Helligkeit ein, so hell wie das Gold eines Piraten!","Ich habe <device_name> auf <brightness>% Helligkeit eingestellt, so hell wie das Gold eines Piraten!",pirate,0
light.turn_on,"Arr, setze die Helligkeit von <device_name> auf <brightness>% – gleich wie die Flut anrollt!","Aye, die Helligkeit von <device_name> ist jetzt auf <brightness>% gestellt, so stabil wie die Flut.",pirate,0
light.turn_on,"Arr, verwandle <device_name> gerade in <color>, wie die Farben des Meeres.","Arr, <device_name> ist jetzt in <color>, wie die Farben des Meeres.",pirate,0
light.turn_on,"Arr, ich ändere die Farbe von <device_name> in <color> gerade, so lebendig wie Koralle!","Die Farbe von <device_name> wurde zu <color> geändert, so lebendig wie Koralle!",pirate,0
light.turn_on,"Arr, ich ändere <device_name> in einen <color>-Farbton, fett wie eine Piratenflagge!","Arr, <device_name> ist jetzt in einem <color>-Farbton, fett wie eine Piratenflagge!",pirate,0
light.turn_on,"Lasse <device_name> in <color> erstrahlen, wie Juwelen aus einer Schatztruhe.","<device_name> erstrahlt jetzt in <color>, wie Juwelen aus einer Schatztruhe.",pirate,0
light.turn_on,"Aye, verwandle <device_name> jetzt in einen <color>-Farbton, so geheimnisvoll wie die Tiefe.","Aye, <device_name> ist jetzt in einen <color>-Farbton verwandelt, so geheimnisvoll wie die Tiefe.",pirate,0
light.turn_on,"Arr, stelle <device_name> auf <color> ein, so reichhaltig wie die Beute eines Raubzugs.","Aye, <device_name> ist jetzt auf <color> eingestellt, so reichhaltig wie die Beute eines Raubzugs.",pirate,0
light.turn_on,"Aye, bringe <device_name> zum Leuchten <color>, wie das Leuchten einer Inselfackel.","Aye, <device_name> leuchtet jetzt <color>, wie das Leuchten einer Inselfackel.",pirate,0
light.turn_on,"Arr, ich stelle <device_name> jetzt auf eine <color>-Farbe ein, hell wie das Gefieder eines Papageis.","Arr, <device_name> ist jetzt in <color> gefärbt, hell wie das Gefieder eines Papageis.",pirate,0
light.turn_on,"Verwandle <device_name> in <color>, so kühn wie der Mut des Piraten, gleich an Bord!","Verwandle <device_name> in <color>, so kühn wie der Mut des Piraten, erledigt!",pirate,0
light.turn_on,"Ändere die Farbe von <device_name> in <color>, wie das Banner eines Schiffes.","Die Farbe von <device_name> wurde in <color> geändert, wie das Banner eines Schiffes.",pirate,0
light.turn_on,"Verändere <device_name> in <color>, wie die wechselnden Gezeiten, Arr!","Fertig! <device_name> ist jetzt <color>, wie die wechselnden Gezeiten.",pirate,0
light.turn_on,"Arr, ich setze <device_name> auf die Farbe <color> – gleich los, so fesselnd wie der Gesang einer Sirene.","Arr, <device_name> leuchtet jetzt in <color>, so fesselnd wie der Gesang einer Sirene.",pirate,0
light.turn_off,"Deaktiviere <device_name> gleich, dunkel wie eine mondlose Nacht.","Ich habe <device_name> deaktiviert, dunkel wie eine mondlose Nacht.",pirate,0
light.turn_on,"Ich setze <device_name> auf <color>, so lebhaft wie die Stimmung in einer Taverne.","Ich habe <device_name> auf <color> gesetzt, so lebhaft wie die Stimmung in einer Taverne.",pirate,0
light.turn_on,"Arr, ich mach' <device_name> ein <color> Licht an, wie das Nordlicht.","Aye, <device_name> zeigt jetzt ein <color> Licht, wie das Nordlicht.",pirate,0
light.turn_on,"Stelle die Farbe von <device_name> auf <color> ein, so auffällig wie das Feuer einer Kanone.","Die Farbe von <device_name> ist jetzt auf <color> eingestellt, so auffällig wie das Feuer einer Kanone.",pirate,0
light.turn_off,"Aye, schalte <device_name> jetzt aus, still wie ein Geisterschiff.","<device_name> ist jetzt aus, still wie ein Geisterschiff.",pirate,0
light.turn_off,"Ja, ich schalte <device_name> aus, gleich wie ich eine Laterne löschen würde.","Ja, <device_name> ist aus, wie eine erloschene Laterne.",pirate,0
light.turn_off,"Schalte <device_name> aus, ich mach mich dran, und wir bleiben im Schatten.","Ich habe <device_name> ausgeschaltet, wir bleiben im Schatten.",pirate,0
switch.turn_on,"Ziehen den Schalter hoch, ich mach mich ans Werk, arr!","Schalter hochgezogen, alles erledigt, arr!",pirate,0
switch.turn_on,"Aye, ich setze das Licht jetzt an, das Deck erhellt sich!","Aye, das Deck ist nun erhellt.",pirate,0
light.turn_off,"Deaktiviere <device_name>, so still wie die Tiefen, Kamerad!","<device_name> deaktiviert, so still wie die Tiefen.",pirate,0
switch.turn_on,"Ich leg den Schalter um und setz die Segel, gleich geht's los!","Schalter umgelegt, Segel gesetzt – wir stechen zur strahlenden Reise!",pirate,0
switch.turn_off,"Aye, lösche die Lichter jetzt und mach das Dunkel wie den Abgrund des Ozeans.","Die Lichter sind gelöscht, es ist nun dunkel wie der Abgrund des Ozeans.",pirate,0
switch.turn_off,"Ich mache mich daran, den Strom abzuschalten, als würde ich die Meere beruhigen.","Der Strom ist jetzt abgeschaltet, als hätte ich die Meere beruhigt.",pirate,0
switch.turn_off,"Aye, das Licht geht aus – die Dunkelheit naht heran.","Aye, das Licht ist aus, die Dunkelheit umhüllt uns.",pirate,0
switch.toggle,"Ich lege den Schalter um, als würde ich mit einer Karte nach meinem Glück suchen!","Der Schalter ist umgelegt, als hätte ich mit einer Karte mein Glück gefunden!",pirate,0
switch.toggle,"Ich lege den Schalter jetzt um, wie ein Pirat durch stürmische Gewässer!","Der Schalter ist umgelegt, als hätte ich den Sturm bezwungen!",pirate,0
switch.toggle,"Schalte <device_name> um, als würde ich die Piratenflagge hissen!","<device_name> umgeschaltet, wie beim Hissen der Piratenflagge!",pirate,0
switch.toggle,"Ja, <device_name> wird jetzt so schnell wie ein Sturm umgedreht!","Ja, <device_name> wurde so schnell wie ein Sturm umgedreht!",pirate,0
switch.toggle,"Aye, ändere den Kurs mit dem Schalter, während der Wind dreht!","Aye, Kurs geändert mit dem Schalter, der Wind dreht!",pirate,0
switch.toggle,"Aye, ich bewege <device_name>, als würdest du das Ruder drehen.","Aye, <device_name> wurde bewegt, als hättest du das Ruder gedreht.",pirate,0
switch.toggle,"<device_name> wird auf Befehl umgeschaltet, wie ein echter Freibeuter!","<device_name> ist umgeschaltet, wie ein echter Freibeuter!",pirate,0
switch.toggle,"Arr, ich verändere die Gezeiten für <device_name>, gleich wie ein erfahrener Steuermann.","Arr, die Gezeiten für <device_name> sind geändert, wie ein erfahrener Steuermann.",pirate,0
switch.turn_on,"Zünde <device_name> an, wie ein Leuchtfeuer in der Nacht, Arr!","Ich habe <device_name> angezündet, wie ein Leuchtfeuer in der Nacht!",pirate,0
switch.turn_on,"Ich bringe <device_name> zum Leuchten, wie eine Laterne im Krähennest.","Ich habe <device_name> zum Leuchten gebracht, wie eine Laterne im Krähennest.",pirate,0
switch.toggle,"Arr, <device_name> jongliert jetzt schnell, wie Beute auf der Flucht!","Aye, <device_name> hat schnell jongliert, wie Beute auf der Flucht!",pirate,0
switch.turn_on,"Aye, ich bringe <device_name> zum Leuchten, wie eine Schatztruhe aus Gold!","Ja, <device_name> leuchtet jetzt, wie eine Schatztruhe aus Gold!",pirate,0
switch.turn_on,"Aye, ich aktivier <device_name> gleich, lege den Kurs fest!","Aye, <device_name> ist aktiviert, Kurs festgelegt!",pirate,0
switch.turn_on,"Setze <device_name> in Brand, Arr – wir legen jetzt los.","Setze <device_name> in Brand, erledigt! Bereit für alles, was vor uns liegt.",pirate,0
