service_name,device_name,english_phrase
light.porch_light,Turn off the light in the porch,turn_off
light.porch_light,Turn the porch light off,turn_off
light.shower_light,Please switch off the shower light,turn_off
light.shower_light,Turn off shower light,turn_off
light.shower_light,Turn off the shower light,turn_off
light.shower_light,Deactivate shower light,turn_off
light.shower_light,Shut off shower light,turn_off
light.stair_light,stair light off,turn_off
light.stair_light,Disable the stair lights.,turn_off
light.stair_light,Shut off stairwell light,turn_off
light.stair_light,Toggle the stairwell light,turn_off
light.stair_light,Can we power down the stairwell light?,turn_off
light.roof_light,Please switch off the roof light,turn_off
light.roof_light,Turn off roof light,turn_off
light.roof_light,Turn off the roof light,turn_off
light.walkway_light,Shut down the walkway lights.,turn_off
light.walkway_light,Turn off the walkway light,turn_off
light.walkway_light,Turn the walkway light off,turn_off
light.Bobs_lamp,Please switch off Bob's light,turn_off
light.janets_lamp,Turn off Janet's light,turn_off
light.ruths_lamp,Please switch off Ruth's lamp,turn_off
light.colins_lamp,Turn off Colin's lamp,turn_off
light.neenas_lamp,Turn off Neena's lamp,turn_off
light.roberts_lamp,Deactivate Robert's lamp,turn_off
light.paulus_lamp,Shut off Paulus' lamp,turn_off
light.peters_lamp,Toggle Peter's lamp,turn_off
light.angelas_lamp,Can we power down Angela's lamp?,turn_off
light.entry_lamp,Please switch off entry lamp,turn_off
light.entry_lamp,Turn off entry lamp,turn_off
light.entry_lamp,Please extinguish entryway lamp,turn_off
light.entry_lamp,Please switch off entryway lamp,turn_off
light.entry_lamp,Please switch off entryway area lamps.,turn_off
light.entry_lamp,Deactivate entrance light,turn_off
light.bar_light,Illuminate the light in my bar.,turn_on
light.bar_light,Illuminate the bar.,turn_on
light.bar_light,Bar light on,turn_on
light.bar_light,Light up the bar.,turn_on
light.dining_room_light,Activate the lights in the dining room,turn_on
light.dining_room_light,Enable the dining room light please,turn_on
light.dining_room_light,Engage the lights in the dining room.,turn_on
light.front_light,Activate the front light please,turn_on
light.front_light,Please activate the front light,turn_on
light.front_light,Activate the front light now,turn_on
light.gym_light,Turn on the gym light please,turn_on
light.gym_light,Turn the gym light on,turn_on
light.gym_light,gym light on,turn_on
light.island_light,Turn the island light on,turn_on
light.island_light,island light on,turn_on
light.island_light,Switch on the island light,turn_on
light.kitchen_light,kitchen light on,turn_on
light.kitchen_light,Switch on the kitchen light,turn_on
light.kitchen_light,Hey can you turn on the kitchen light,turn_on
light.living_room_light,Turn on the living room lights.,turn_on
light.living_room_light,Turn on the living room lights please.,turn_on
light.living_room_light,Please turn on the living room lights.,turn_on
light.living_room_light,Turn on the living room lighting.,turn_on
light.main_basement_light,Turn on the main basement light,turn_on
light.main_basement_light,Turn on main basement light,turn_on
light.man_cave_light,Activate the man cave man cave light.,turn_on
light.man_cave_light,Activate the lights in the man cave,turn_on
light.man_cave_light,Could you light up the man cave?,turn_on
light.man_cave_light,Enable the man cave light,turn_on
light.master_bedroom_light,Could you illuminate the master bedroom,turn_on
light.pool_table_bar_light,pool table bar light on,turn_on
light.pool_table_bar_light,Switch on the pool table bar light,turn_on
light.pool_table_bar_light,Can you turn on the pool table bar light?,turn_on
light.pool_table_light,Enable the pool table light please,turn_on
light.porch_light,Turn on porch light,turn_on
light.porch_light,Can you turn on the porch light?,turn_on
light.porch_light,Could you turn on the porch light please?,turn_on
light.shower_light,Turn on the shower light,turn_on
light.shower_light,Turn on shower light,turn_on
light.shower_light,Activate the shower light,turn_on
light.shower_light,Could you illuminate the shower please,turn_on
light.shower_light,Turn on the lights at the shower,turn_on
light.shower_light,Light up the shower please,turn_on
light.shower_light,Turn on the shower light please,turn_on
light.shower_light,Turn the shower light on,turn_on
light.shower_light,shower light on,turn_on
light.stair_light,Activate the stair light please,turn_on
light.stair_light,Please activate the stair light,turn_on
light.stair_light,Can you light up the stairwell please?,turn_on
light.stair_light,Please activate the stairwell light,turn_on
light.stair_light,Please switch on the stairwell area light,turn_on
light.roof_light,Please turn on the roof light.,turn_on
light.roof_light,Switch on the roof light please,turn_on
light.roof_light,Can you turn on the light in the roof?,turn_on
light.walkway_light,Please activate the walkway light,turn_on
light.walkway_light,Please switch on the walkway area light,turn_on
light.walkway_light,Turn on the walkway lighting.,turn_on
light.freds_lamp,Turn on Fred's light,turn_on
light.colins_lamp,Turn on Colin's light,turn_on
light.roberts_lamp,Activate Robert's light,turn_on
light.pierres_lamp,Turn on Pierre's light please,turn_on
light.jennifers_lamp,Turn Jenn's light on,turn_on
light.julias_lamp,Julia's light on,turn_on
light.neenas_lamp,Switch on Neena's light,turn_on
light.patricks_lamp,Can you turn on Patrick's light?,turn_on
light.sams_lamp,Light up Sam's.,turn_on
light.johns_lamp,Brighten up John's light.,turn_on
light.jordans_lamp,Engage Jordan's lighting.,turn_on
light.lebrons_lamp,Light up Lebron's lights.,turn_on
light.angies_lamp,Can you turn on Angie's lamp?,turn_on
light.louis_lamp,Could you turn on Louis' lamp please?,turn_on
light.katniss_lamp,Could you enable Katniss' lamp,turn_on
light.waynes_lamp,Enable Wayne's lamp,turn_on
light.samuels_lamp,Enable Samuel's lamp please,turn_on
light.entry_lamp,Turn on entry lamp,turn_on
light.entry_lamp,Please activate entryway lamp,turn_on
light.entry_lamp,Please switch on entryway area lamp,turn_on
light.entry_lamp,Turn on entrance light,turn_on
light.entry_lamp,Turn on entrance lighting.,turn_on
